Iteration	Posterior	Likelihood	Prior	beta_scale	neo_matrix_probs[1]	neo_matrix_probs[2]	neo_matrix_probs[3]	neo_matrix_probs[4]	rate_log_sd	tree_length	two_matrix_probs[1]	two_matrix_probs[2]	two_matrix_probs[3]	two_matrix_probs[4]
426	-112.0305	-377.316	265.2855	6.526567	0.840908	0.0126528	0.143639	0.00280077	1.628104	1.732835	0.60999	0.207298	0.0797998	0.102913
432	-121.1731	-389.4583	268.2852	1.328441	0.0174378	0.0662223	0.431701	0.484639	2.637373	0.3564731	0.306901	0.530007	0.151453	0.0116395
438	-111.6767	-380.458	268.7813	0.7293293	0.0282216	0.107175	0.69867	0.165933	2.702605	0.3232052	0.0347139	0.549257	0.397106	0.0189232
444	-107.5784	-376.6037	269.0253	0.4772425	0.0282216	0.107175	0.69867	0.165933	2.720843	0.3234415	0.0406891	0.643799	0.249804	0.0657083
450	-118.524	-386.4579	267.9338	1.871867	0.0238201	0.0904597	0.745666	0.140054	2.50122	0.3232448	0.136987	0.273077	0.560343	0.0295935
456	-119.9084	-387.3254	267.4171	2.26625	0.395175	0.0821771	0.416913	0.105735	2.721264	0.3183863	0.0574673	0.217369	0.700587	0.0245766
462	-103.2146	-369.0744	265.8597	5.668348	0.28049	0.166139	0.162207	0.391163	2.579587	0.401405	0.58334	0.258888	0.0781247	0.0796472
468	-113.0572	-380.3325	267.2753	2.882035	0.665215	0.0417136	0.163219	0.129853	2.508297	0.3728746	0.167837	0.463579	0.200566	0.168019
474	-114.9033	-382.0407	267.1374	3.142551	0.426024	0.1867	0.19638	0.190896	2.508297	0.4036751	0.333312	0.435287	0.188326	0.0430757
480	-100.6805	-367.6517	266.9712	3.153989	0.250882	0.053842	0.22496	0.470316	2.580737	0.3017914	0.395568	0.303955	0.270265	0.0302123
486	-93.3374	-355.8428	262.5054	18.93173	0.0167353	0.252527	0.169993	0.560744	2.670316	0.3753821	0.122302	0.38975	0.468058	0.01989
492	-114.5572	-374.9836	260.4264	36.98798	0.0385343	0.264147	0.391421	0.305898	2.488135	0.3727227	0.181992	0.23392	0.151697	0.432391
498	-123.9463	-391.5487	267.6024	1.980874	0.0822781	0.658878	0.145295	0.113549	2.684711	0.2754017	0.11901	0.739969	0.103131	0.0378898
504	-125.6473	-392.5198	266.8725	2.517712	0.060984	0.580453	0.266843	0.0917205	2.922928	0.2206019	0.361846	0.0359585	0.536896	0.0652986
510	-123.058	-387.5671	264.5091	8.887889	0.200301	0.0749803	0.643207	0.0815121	2.717033	0.2754017	0.172375	0.671004	0.0192377	0.137383
516	-121.234	-387.644	266.41	3.6271	0.270755	0.0305682	0.502986	0.195691	2.827935	0.268199	0.0507243	0.352341	0.296434	0.3005
522	-117.9941	-385.3689	267.3748	3.13509	0.0369515	0.406849	0.170687	0.385512	2.266468	0.6331044	0.311761	0.348067	0.031264	0.308907
528	-100.34	-361.3743	261.0343	34.40212	0.027704	0.249145	0.276979	0.446172	2.167454	0.5819757	0.388876	0.246814	0.0615485	0.302762
534	-105.2418	-369.8546	264.6128	10.25643	0.00484716	0.071148	0.0672379	0.856767	2.380805	0.4666588	0.188766	0.141826	0.497039	0.172368
540	-115.4368	-378.666	263.2293	16.35553	0.00533597	0.0656213	0.0369437	0.892099	2.407628	0.6239196	0.221052	0.132514	0.119157	0.527278
546	-100.8672	-364.366	263.4988	15.90617	0.0187028	0.151974	0.0892579	0.740065	2.215685	0.6392665	0.324972	0.0639621	0.420257	0.190808
552	-93.60377	-360.2701	266.6664	4.805409	0.0588848	0.430536	0.0332621	0.477317	2.12546	0.6392665	0.339604	0.407015	0.223354	0.030027
558	-101.4054	-367.1684	265.763	6.570193	0.0405722	0.356378	0.17472	0.42833	2.326421	0.635614	0.47995	0.240673	0.227613	0.0517634
564	-92.98614	-360.3166	267.3305	3.385524	0.204655	0.276033	0.250069	0.269243	2.154434	0.6630565	0.522433	0.145588	0.319911	0.0120682
570	-100.0602	-368.4335	268.3733	1.861206	0.0661842	0.182324	0.552907	0.198585	1.964318	0.8726773	0.418716	0.499217	0.073879	0.00818779
576	-108.2816	-372.9999	264.7183	10.11188	0.15868	0.383285	0.228576	0.229459	2.278777	0.6485322	0.585815	0.391329	0.0164374	0.00641829
582	-113.8961	-378.5078	264.6117	10.47735	0.0950452	0.130477	0.0494492	0.725029	2.11877	0.8953423	0.89444	0.0992196	0.00456021	0.00178062
588	-111.0491	-374.961	263.9119	13.89001	0.195867	0.319008	0.135459	0.349666	2.128224	0.7692893	0.355688	0.600562	0.0178499	0.0258996
594	-120.0279	-385.3941	265.3662	9.1115	0.216712	0.612755	0.132739	0.0377947	1.907294	0.6452139	0.650881	0.0560716	0.291375	0.00167187
600	-114.5909	-379.6569	265.0659	8.93193	0.189942	0.132494	0.591962	0.085602	2.289303	0.5531531	0.381479	0.127875	0.484213	0.0064331
606	-112.6413	-379.1667	266.5254	4.351018	0.112174	0.821986	0.00632854	0.0595113	2.500141	0.4398364	0.625432	0.0414489	0.328752	0.00436769
612	-129.9945	-393.4974	263.5028	14.9015	0.163741	0.69281	0.080097	0.0633525	2.413085	0.6225484	0.786686	0.0767624	0.129254	0.0072971
618	-101.588	-369.8719	268.284	2.166956	0.0639247	0.141045	0.449003	0.346027	2.013132	0.5023176	0.407646	0.416399	0.172994	0.00296153
624	-125.4862	-392.3829	266.8966	3.798608	0.0806168	0.177874	0.121504	0.620005	2.4105	0.5010057	0.549744	0.172735	0.273526	0.00399387
630	-117.3751	-382.4083	265.0332	9.180432	0.255339	0.126688	0.43058	0.187394	2.245369	0.5768077	0.0908369	0.517412	0.385894	0.00585739
636	-126.3609	-394.5432	268.1824	1.919501	0.107596	0.155991	0.304263	0.43215	2.256057	0.6603647	0.0395167	0.327941	0.336051	0.296491
642	-118.8025	-387.7816	268.9791	0.9686983	0.34627	0.0474506	0.451309	0.154971	2.320222	0.6045462	0.190153	0.466253	0.126979	0.216614
648	-111.382	-380.6684	269.2864	0.728413	0.391558	0.0743751	0.2157	0.318368	2.266034	0.592177	0.0597358	0.784856	0.0518937	0.103515
654	-115.086	-382.3904	267.3044	3.284456	0.344245	0.397267	0.209671	0.0488174	2.266034	0.592177	0.139301	0.639136	0.124326	0.0972377
660	-107.6949	-374.2897	266.5948	5.356832	0.317196	0.13233	0.0347603	0.515713	1.874716	0.7847143	0.301556	0.202681	0.155407	0.340356
666	-112.856	-375.0456	262.1896	23.43475	0.225941	0.368475	0.0149431	0.390641	2.183877	0.8323763	0.146572	0.198866	0.320614	0.333948
672	-111.1845	-372.7778	261.5933	26.58778	0.254188	0.268955	0.378956	0.0979007	2.504984	0.4332194	0.0549565	0.486292	0.0560906	0.402661
678	-115.539	-374.6166	259.0776	53.48617	0.092885	0.296413	0.552754	0.0579481	2.007627	1.166235	0.258815	0.160874	0.0767355	0.503575
684	-111.8444	-375.23	263.3855	13.40004	0.237344	0.215294	0.449021	0.0983413	1.689789	1.700168	0.135625	0.315249	0.395691	0.153434
690	-109.3582	-375.3661	266.0078	6.298321	0.257467	0.370992	0.179713	0.191828	1.94056	0.9640006	0.129208	0.67153	0.128502	0.0707596
696	-111.8293	-377.5092	265.6799	7.61284	0.162187	0.376612	0.0321427	0.429058	1.888958	0.8811998	0.513997	0.148138	0.118071	0.219794
702	-108.8132	-372.8563	264.0431	12.39826	0.557446	0.0795531	0.134406	0.228594	2.281056	0.8249882	0.262127	0.56181	0.112467	0.0635958
708	-100.5011	-367.7949	267.2938	3.491738	0.154578	0.074064	0.641323	0.130035	2.027276	0.8249882	0.113528	0.586318	0.195382	0.104773
714	-111.7787	-380.3302	268.5515	1.327263	0.104428	0.0800645	0.354405	0.461102	2.420143	0.5415955	0.0974201	0.50313	0.209395	0.190055
720	-122.543	-388.9164	266.3734	4.655138	0.0991609	0.0760262	0.662223	0.16259	2.489821	0.6302274	0.00976598	0.216524	0.529352	0.244358
726	-119.4514	-384.8551	265.4037	5.715638	0.10879	0.18926	0.474346	0.227604	2.891557	0.2750637	0.0474911	0.176109	0.724787	0.0516129
732	-123.6523	-389.5047	265.8524	5.26096	0.148577	0.259383	0.245249	0.34679	2.658782	0.2954988	0.0705607	0.428954	0.0803678	0.420117
738	-135.4625	-399.1012	263.6387	11.08726	0.08284	0.213556	0.483028	0.220576	2.944337	0.2459322	0.301295	0.0633673	0.288015	0.347322
744	-128.2644	-395.5876	267.3231	1.974458	0.0170916	0.846553	0.00712215	0.129234	1.925614	1.709999	0.24632	0.261998	0.436819	0.0548631
750	-127.0686	-388.5791	261.5105	13.22962	0.0488664	0.343554	0.112387	0.495192	1.990845	2.745082	0.00517057	0.704605	0.129316	0.160908
756	-131.3618	-392.6566	261.2948	18.83465	0.0709033	0.16145	0.0491425	0.718505	1.955243	2.239215	0.034104	0.111743	0.415846	0.438307
762	-129.0756	-395.8084	266.7328	3.727672	0.00590628	0.931414	0.00282757	0.0598518	2.236678	1.065714	0.0341944	0.231383	0.580437	0.153986
768	-114.8206	-382.8035	267.9829	2.238909	0.295607	0.269634	0.0476439	0.387116	2.172207	0.7440922	0.00696547	0.241739	0.583355	0.167941
774	-113.3827	-381.4642	268.0814	2.03185	0.725421	0.0914526	0.0518264	0.1313	2.314347	0.4886996	0.00746465	0.760388	0.092828	0.13932
780	-123.4099	-391.441	268.031	2.010946	0.141175	0.260912	0.49345	0.104463	2.371804	0.5693984	0.16552	0.278863	0.355575	0.200042
786	-122.2554	-390.691	268.4356	1.683622	0.281713	0.337132	0.24682	0.134335	2.226127	0.557074	0.178787	0.128559	0.476578	0.216076
792	-124.1446	-386.7808	262.6362	10.93391	0.24955	0.143027	0.349925	0.257498	1.197918	2.867572	0.0983709	0.198007	0.0839141	0.619708
798	-124.9306	-387.7074	262.7767	7.106141	0.320321	0.0507933	0.449161	0.179724	1.491539	3.271595	0.0821754	0.659782	0.097535	0.160508
804	-107.287	-373.4857	266.1987	3.182419	0.158619	0.130539	0.253732	0.457111	2.261182	1.705509	0.165408	0.393782	0.132591	0.308219
